League,Date,Home Team,Away Team,Full Time Home Goals,Full Time Away Goals,Full Time Result,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards
Premier League,13/08/2016,Burnley,Swansea,0,1,Away,3,2,0,0
Premier League,13/08/2016,Crystal Palace,West Brom,0,1,Away,2,2,0,0
Premier League,13/08/2016,Everton,Tottenham,1,1,Draw,0,0,0,0
Premier League,13/08/2016,Hull,Leicester,2,1,Home,2,2,0,0
Premier League,13/08/2016,Man City,Sunderland,2,1,Home,1,2,0,0
Premier League,13/08/2016,Middlesbrough,Stoke,1,1,Draw,3,5,0,0
Premier League,13/08/2016,Southampton,Watford,1,1,Draw,1,2,0,1
Premier League,14/08/2016,Arsenal,Liverpool,3,4,Away,3,3,0,0
Premier League,14/08/2016,Bournemouth,Man United,1,3,Away,0,1,0,0
Premier League,15/08/2016,Chelsea,West Ham,2,1,Home,5,2,0,0
Premier League,19/08/2016,Man United,Southampton,2,0,Home,0,0,0,0
Premier League,20/08/2016,Burnley,Liverpool,2,0,Home,0,1,0,0
Premier League,20/08/2016,Leicester,Arsenal,0,0,Draw,1,2,0,0
Premier League,20/08/2016,Stoke,Man City,1,4,Away,3,4,0,0
Premier League,20/08/2016,Swansea,Hull,0,2,Away,0,0,0,0
Premier League,20/08/2016,Tottenham,Crystal Palace,1,0,Home,3,3,0,0
Premier League,20/08/2016,Watford,Chelsea,1,2,Away,4,3,0,0
Premier League,20/08/2016,West Brom,Everton,1,2,Away,3,1,0,0
Premier League,21/08/2016,Sunderland,Middlesbrough,1,2,Away,1,1,0,0
Premier League,21/08/2016,West Ham,Bournemouth,1,0,Home,3,1,0,1
Premier League,27/08/2016,Chelsea,Burnley,3,0,Home,2,2,0,0
Premier League,27/08/2016,Crystal Palace,Bournemouth,1,1,Draw,2,1,0,0
Premier League,27/08/2016,Everton,Stoke,1,0,Home,2,1,0,0
Premier League,27/08/2016,Hull,Man United,0,1,Away,2,3,0,0
Premier League,27/08/2016,Leicester,Swansea,2,1,Home,2,2,0,0
Premier League,27/08/2016,Southampton,Sunderland,1,1,Draw,2,2,0,0
Premier League,27/08/2016,Tottenham,Liverpool,1,1,Draw,3,5,0,0
Premier League,27/08/2016,Watford,Arsenal,1,3,Away,6,1,0,0
Premier League,28/08/2016,Man City,West Ham,3,1,Home,1,3,0,0
Premier League,28/08/2016,West Brom,Middlesbrough,0,0,Draw,1,3,0,0
Premier League,10/09/2016,Arsenal,Southampton,2,1,Home,2,5,0,0
Premier League,10/09/2016,Bournemouth,West Brom,1,0,Home,1,3,0,0
Premier League,10/09/2016,Burnley,Hull,1,1,Draw,2,0,0,0
Premier League,10/09/2016,Liverpool,Leicester,4,1,Home,1,2,0,0
Premier League,10/09/2016,Man United,Man City,1,2,Away,4,2,0,0
Premier League,10/09/2016,Middlesbrough,Crystal Palace,1,2,Away,1,2,0,0
Premier League,10/09/2016,Stoke,Tottenham,0,4,Away,3,2,0,0
Premier League,10/09/2016,West Ham,Watford,2,4,Away,2,2,0,0
Premier League,11/09/2016,Swansea,Chelsea,2,2,Draw,3,4,0,0
Premier League,12/09/2016,Sunderland,Everton,0,3,Away,1,1,0,0
Premier League,16/09/2016,Chelsea,Liverpool,1,2,Away,1,1,0,0
Premier League,17/09/2016,Everton,Middlesbrough,3,1,Home,2,1,0,0
Premier League,17/09/2016,Hull,Arsenal,1,4,Away,0,2,1,0
Premier League,17/09/2016,Leicester,Burnley,3,0,Home,0,1,0,0
Premier League,17/09/2016,Man City,Bournemouth,4,0,Home,1,1,1,0
Premier League,17/09/2016,West Brom,West Ham,4,2,Home,2,1,0,0
Premier League,18/09/2016,Crystal Palace,Stoke,4,1,Home,2,1,0,0
Premier League,18/09/2016,Southampton,Swansea,1,0,Home,1,1,0,0
Premier League,18/09/2016,Tottenham,Sunderland,1,0,Home,1,5,0,1
Premier League,18/09/2016,Watford,Man United,3,1,Home,3,4,0,0
Premier League,24/09/2016,Arsenal,Chelsea,3,0,Home,0,2,0,0
Premier League,24/09/2016,Bournemouth,Everton,1,0,Home,2,2,0,0
Premier League,24/09/2016,Liverpool,Hull,5,1,Home,1,2,0,1
Premier League,24/09/2016,Man United,Leicester,4,1,Home,0,2,0,0
Premier League,24/09/2016,Middlesbrough,Tottenham,1,2,Away,2,1,0,0
Premier League,24/09/2016,Stoke,West Brom,1,1,Draw,3,4,0,0
Premier League,24/09/2016,Sunderland,Crystal Palace,2,3,Away,0,2,0,0
Premier League,24/09/2016,Swansea,Man City,1,3,Away,2,4,0,0
Premier League,25/09/2016,West Ham,Southampton,0,3,Away,5,2,0,0
Premier League,26/09/2016,Burnley,Watford,2,0,Home,1,3,0,0
Premier League,30/09/2016,Everton,Crystal Palace,1,1,Draw,5,4,0,0
Premier League,01/10/2016,Hull,Chelsea,0,2,Away,2,2,0,0
Premier League,01/10/2016,Sunderland,West Brom,1,1,Draw,1,3,0,0
Premier League,01/10/2016,Swansea,Liverpool,1,2,Away,2,2,0,0
Premier League,01/10/2016,Watford,Bournemouth,2,2,Draw,3,4,0,0
Premier League,01/10/2016,West Ham,Middlesbrough,1,1,Draw,2,3,0,0
Premier League,02/10/2016,Burnley,Arsenal,0,1,Away,0,0,0,0
Premier League,02/10/2016,Leicester,Southampton,0,0,Draw,1,0,0,0
Premier League,02/10/2016,Man United,Stoke,1,1,Draw,3,0,0,0
Premier League,02/10/2016,Tottenham,Man City,2,0,Home,2,2,0,0
Premier League,15/10/2016,Arsenal,Swansea,3,2,Home,0,1,1,0
Premier League,15/10/2016,Bournemouth,Hull,6,1,Home,0,3,0,0
Premier League,15/10/2016,Chelsea,Leicester,3,0,Home,1,1,0,0
Premier League,15/10/2016,Crystal Palace,West Ham,0,1,Away,1,3,0,1
Premier League,15/10/2016,Man City,Everton,1,1,Draw,0,2,0,0
Premier League,15/10/2016,Stoke,Sunderland,2,0,Home,1,1,0,0
Premier League,15/10/2016,West Brom,Tottenham,1,1,Draw,2,2,0,0
Premier League,16/10/2016,Middlesbrough,Watford,0,1,Away,4,1,0,0
Premier League,16/10/2016,Southampton,Burnley,3,1,Home,1,2,0,0
Premier League,17/10/2016,Liverpool,Man United,0,0,Draw,0,4,0,0
Premier League,22/10/2016,Arsenal,Middlesbrough,0,0,Draw,1,0,0,0
Premier League,22/10/2016,Bournemouth,Tottenham,0,0,Draw,2,4,0,0
Premier League,22/10/2016,Burnley,Everton,2,1,Home,2,3,0,0
Premier League,22/10/2016,Hull,Stoke,0,2,Away,2,3,0,0
Premier League,22/10/2016,Leicester,Crystal Palace,3,1,Home,0,0,0,0
Premier League,22/10/2016,Liverpool,West Brom,2,1,Home,1,3,0,0
Premier League,22/10/2016,Swansea,Watford,0,0,Draw,2,1,0,0
Premier League,22/10/2016,West Ham,Sunderland,1,0,Home,2,5,0,0
Premier League,23/10/2016,Chelsea,Man United,4,0,Home,3,2,0,0
Premier League,23/10/2016,Man City,Southampton,1,1,Draw,3,3,0,0
Premier League,29/10/2016,Crystal Palace,Liverpool,2,4,Away,1,2,0,0
Premier League,29/10/2016,Man United,Burnley,0,0,Draw,1,3,1,0
Premier League,29/10/2016,Middlesbrough,Bournemouth,2,0,Home,1,1,0,0
Premier League,29/10/2016,Sunderland,Arsenal,1,4,Away,4,3,0,0
Premier League,29/10/2016,Tottenham,Leicester,1,1,Draw,3,4,0,0
Premier League,29/10/2016,Watford,Hull,1,0,Home,1,2,0,0
Premier League,29/10/2016,West Brom,Man City,0,4,Away,4,3,0,0
Premier League,30/10/2016,Everton,West Ham,2,0,Home,2,3,0,0
Premier League,30/10/2016,Southampton,Chelsea,0,2,Away,0,0,0,0
Premier League,31/10/2016,Stoke,Swansea,3,1,Home,2,0,0,0
Premier League,05/11/2016,Bournemouth,Sunderland,1,2,Away,3,2,0,1
Premier League,05/11/2016,Burnley,Crystal Palace,3,2,Home,1,2,0,0
Premier League,05/11/2016,Chelsea,Everton,5,0,Home,0,3,0,0
Premier League,05/11/2016,Man City,Middlesbrough,1,1,Draw,1,3,0,0
Premier League,05/11/2016,West Ham,Stoke,1,1,Draw,4,1,0,0
Premier League,06/11/2016,Arsenal,Tottenham,1,1,Draw,1,2,0,0
Premier League,06/11/2016,Hull,Southampton,2,1,Home,0,5,0,0
Premier League,06/11/2016,Leicester,West Brom,1,2,Away,0,2,0,0
Premier League,06/11/2016,Liverpool,Watford,6,1,Home,1,2,0,0
Premier League,06/11/2016,Swansea,Man United,1,3,Away,0,2,0,0
Premier League,19/11/2016,Crystal Palace,Man City,1,2,Away,1,2,0,0
Premier League,19/11/2016,Everton,Swansea,1,1,Draw,4,2,0,0
Premier League,19/11/2016,Man United,Arsenal,1,1,Draw,3,3,0,0
Premier League,19/11/2016,Southampton,Liverpool,0,0,Draw,1,1,0,0
Premier League,19/11/2016,Stoke,Bournemouth,0,1,Away,3,2,0,0
Premier League,19/11/2016,Sunderland,Hull,3,0,Home,1,0,1,0
Premier League,19/11/2016,Tottenham,West Ham,3,2,Home,3,2,0,1
Premier League,19/11/2016,Watford,Leicester,2,1,Home,2,3,0,0
Premier League,20/11/2016,Middlesbrough,Chelsea,0,1,Away,2,3,0,0
Premier League,21/11/2016,West Brom,Burnley,4,0,Home,0,0,0,0
Premier League,26/11/2016,Burnley,Man City,1,2,Away,2,3,0,0
Premier League,26/11/2016,Chelsea,Tottenham,2,1,Home,2,1,0,0
Premier League,26/11/2016,Hull,West Brom,1,1,Draw,3,2,0,0
Premier League,26/11/2016,Leicester,Middlesbrough,2,2,Draw,4,4,0,0
Premier League,26/11/2016,Liverpool,Sunderland,2,0,Home,1,3,0,0
Premier League,26/11/2016,Swansea,Crystal Palace,5,4,Home,4,5,0,0
Premier League,27/11/2016,Arsenal,Bournemouth,3,1,Home,3,5,0,0
Premier League,27/11/2016,Man United,West Ham,1,1,Draw,3,1,0,0
Premier League,27/11/2016,Southampton,Everton,1,0,Home,0,2,0,0
Premier League,27/11/2016,Watford,Stoke,0,1,Away,3,0,1,0
Premier League,03/12/2016,Crystal Palace,Southampton,3,0,Home,3,1,0,0
Premier League,03/12/2016,Man City,Chelsea,1,3,Away,2,3,2,0
Premier League,03/12/2016,Stoke,Burnley,2,0,Home,3,2,0,0
Premier League,03/12/2016,Sunderland,Leicester,2,1,Home,3,1,0,0
Premier League,03/12/2016,Tottenham,Swansea,5,0,Home,0,4,0,0
Premier League,03/12/2016,West Brom,Watford,3,1,Home,2,1,0,1
Premier League,03/12/2016,West Ham,Arsenal,1,5,Away,3,3,0,0
Premier League,04/12/2016,Bournemouth,Liverpool,4,3,Home,2,2,0,0
Premier League,04/12/2016,Everton,Man United,1,1,Draw,2,3,0,0
Premier League,05/12/2016,Middlesbrough,Hull,1,0,Home,1,1,0,0
Premier League,10/12/2016,Arsenal,Stoke,3,1,Home,0,0,0,0
Premier League,10/12/2016,Burnley,Bournemouth,3,2,Home,2,2,0,0
Premier League,10/12/2016,Hull,Crystal Palace,3,3,Draw,2,4,0,0
Premier League,10/12/2016,Leicester,Man City,4,2,Home,2,1,0,0
Premier League,10/12/2016,Swansea,Sunderland,3,0,Home,1,2,0,0
Premier League,10/12/2016,Watford,Everton,3,2,Home,2,2,0,0
Premier League,11/12/2016,Chelsea,West Brom,1,0,Home,2,4,0,0
Premier League,11/12/2016,Liverpool,West Ham,2,2,Draw,2,0,0,0
Premier League,11/12/2016,Man United,Tottenham,1,0,Home,3,3,0,0
Premier League,11/12/2016,Southampton,Middlesbrough,1,0,Home,4,3,0,0
Premier League,13/12/2016,Bournemouth,Leicester,1,0,Home,0,3,0,0
